 gas_q1 , gas_q2 , EFH_GasWP_aggr. , MFH_GasWP_aggr. , air_q1 , air_q2 , EFH_LuftWP_aggr. ,MFH_LuftWP_aggr.
 1.56 , 1.44 , 1.54 , 1.53 , 3.12 , 2.24 , 2.99 , 2.94 
 1.56 , 1.44 , 1.54 , 1.53 , 3.12 , 2.24 , 2.99 , 2.94 
 1.56 , 1.44 , 1.54 , 1.53 , 3.12 , 2.24 , 2.99 , 2.94 
 1.56 , 1.44 , 1.54 , 1.53 , 3.12 , 2.24 , 2.99 , 2.94 
 1.56 , 1.44 , 1.54 , 1.53 , 3.12 , 2.24 , 2.99 , 2.94 
 1.56 , 1.44 , 1.54 , 1.53 , 3.12 , 2.24 , 2.99 , 2.94 
 1.56 , 1.44 , 1.54 , 1.53 , 3.08 , 2.21 , 2.95 , 2.90 
 1.56 , 1.44 , 1.54 , 1.53 , 3.08 , 2.21 , 2.95 , 2.90 
 1.56 , 1.44 , 1.54 , 1.53 , 3.08 , 2.21 , 2.95 , 2.90 
 1.56 , 1.44 , 1.54 , 1.53 , 3.08 , 2.21 , 2.95 , 2.90 
 1.56 , 1.44 , 1.54 , 1.53 , 3.08 , 2.21 , 2.95 , 2.90 
 1.56 , 1.44 , 1.54 , 1.53 , 3.08 , 2.21 , 2.95 , 2.90 
 1.56 , 1.44 , 1.54 , 1.53 , 3.12 , 2.24 , 2.99 , 2.94 
 1.56 , 1.44 , 1.54 , 1.53 , 3.12 , 2.24 , 2.99 , 2.94 
 1.56 , 1.44 , 1.54 , 1.53 , 3.12 , 2.24 , 2.99 , 2.94 
 1.56 , 1.44 , 1.54 , 1.53 , 3.12 , 2.24 , 2.99 , 2.94 
 1.56 , 1.44 , 1.54 , 1.53 , 3.12 , 2.24 , 2.99 , 2.94 
 1.56 , 1.44 , 1.54 , 1.53 , 3.12 , 2.24 , 2.99 , 2.94 
 1.55 , 1.44 , 1.54 , 1.53 , 3.06 , 2.20 , 2.93 , 2.88 
 1.55 , 1.44 , 1.54 , 1.53 , 3.06 , 2.20 , 2.93 , 2.88 
 1.55 , 1.44 , 1.54 , 1.53 , 3.06 , 2.20 , 2.93 , 2.88 
 1.55 , 1.44 , 1.54 , 1.53 , 3.06 , 2.20 , 2.93 , 2.88 
 1.55 , 1.44 , 1.54 , 1.53 , 3.06 , 2.20 , 2.93 , 2.88 
 1.55 , 1.44 , 1.54 , 1.53 , 3.06 , 2.20 , 2.93 , 2.88 
 1.55 , 1.44 , 1.54 , 1.53 , 3.01 , 2.17 , 2.88 , 2.84 
 1.55 , 1.44 , 1.54 , 1.53 , 3.01 , 2.17 , 2.88 , 2.84 
 1.55 , 1.44 , 1.54 , 1.53 , 3.01 , 2.17 , 2.88 , 2.84 
 1.55 , 1.44 , 1.54 , 1.53 , 3.01 , 2.17 , 2.88 , 2.84 
 1.55 , 1.44 , 1.54 , 1.53 , 3.01 , 2.17 , 2.88 , 2.84 
 1.55 , 1.44 , 1.54 , 1.53 , 3.01 , 2.17 , 2.88 , 2.84 
 1.55 , 1.44 , 1.53 , 1.53 , 2.96 , 2.14 , 2.84 , 2.79 
 1.55 , 1.44 , 1.53 , 1.53 , 2.96 , 2.14 , 2.84 , 2.79 
 1.55 , 1.44 , 1.53 , 1.53 , 2.96 , 2.14 , 2.84 , 2.79 
 1.55 , 1.44 , 1.53 , 1.53 , 2.96 , 2.14 , 2.84 , 2.79 
 1.55 , 1.44 , 1.53 , 1.53 , 2.96 , 2.14 , 2.84 , 2.79 
 1.55 , 1.44 , 1.53 , 1.53 , 2.96 , 2.14 , 2.84 , 2.79 
 1.55 , 1.44 , 1.53 , 1.53 , 3.07 , 2.21 , 2.94 , 2.89 
 1.55 , 1.44 , 1.53 , 1.53 , 3.07 , 2.21 , 2.94 , 2.89 
 1.55 , 1.44 , 1.53 , 1.53 , 3.07 , 2.21 , 2.94 , 2.89 
 1.55 , 1.44 , 1.53 , 1.53 , 3.07 , 2.21 , 2.94 , 2.89 
 1.55 , 1.44 , 1.53 , 1.53 , 3.07 , 2.21 , 2.94 , 2.89 
 1.55 , 1.44 , 1.53 , 1.53 , 3.07 , 2.21 , 2.94 , 2.89 
 1.55 , 1.43 , 1.53 , 1.53 , 3.02 , 2.17 , 2.89 , 2.84 
 1.55 , 1.43 , 1.53 , 1.53 , 3.02 , 2.17 , 2.89 , 2.84 
 1.55 , 1.43 , 1.53 , 1.53 , 3.02 , 2.17 , 2.89 , 2.84 
 1.55 , 1.43 , 1.53 , 1.53 , 3.02 , 2.17 , 2.89 , 2.84 
 1.55 , 1.43 , 1.53 , 1.53 , 3.02 , 2.17 , 2.89 , 2.84 
 1.55 , 1.43 , 1.53 , 1.53 , 3.02 , 2.17 , 2.89 , 2.84 
 1.55 , 1.43 , 1.53 , 1.52 , 2.99 , 2.16 , 2.87 , 2.82 
 1.55 , 1.43 , 1.53 , 1.52 , 2.99 , 2.16 , 2.87 , 2.82 
 1.55 , 1.43 , 1.53 , 1.52 , 2.99 , 2.16 , 2.87 , 2.82 
 1.55 , 1.43 , 1.53 , 1.52 , 2.99 , 2.16 , 2.87 , 2.82 
 1.55 , 1.43 , 1.53 , 1.52 , 2.99 , 2.16 , 2.87 , 2.82 
 1.55 , 1.43 , 1.53 , 1.52 , 2.99 , 2.16 , 2.87 , 2.82 
 1.55 , 1.43 , 1.53 , 1.52 , 2.95 , 2.13 , 2.83 , 2.78 
 1.55 , 1.43 , 1.53 , 1.52 , 2.95 , 2.13 , 2.83 , 2.78 
 1.55 , 1.43 , 1.53 , 1.52 , 2.95 , 2.13 , 2.83 , 2.78 
 1.55 , 1.43 , 1.53 , 1.52 , 2.95 , 2.13 , 2.83 , 2.78 
 1.55 , 1.43 , 1.53 , 1.52 , 2.95 , 2.13 , 2.83 , 2.78 
 1.55 , 1.43 , 1.53 , 1.52 , 2.95 , 2.13 , 2.83 , 2.78 
 1.55 , 1.43 , 1.53 , 1.52 , 3.05 , 2.19 , 2.92 , 2.87 
 1.55 , 1.43 , 1.53 , 1.52 , 3.05 , 2.19 , 2.92 , 2.87 
 1.55 , 1.43 , 1.53 , 1.52 , 3.05 , 2.19 , 2.92 , 2.87 
 1.55 , 1.43 , 1.53 , 1.52 , 3.05 , 2.19 , 2.92 , 2.87 
 1.55 , 1.43 , 1.53 , 1.52 , 3.05 , 2.19 , 2.92 , 2.87 
 1.55 , 1.43 , 1.53 , 1.52 , 3.05 , 2.19 , 2.92 , 2.87 
 1.54 , 1.43 , 1.53 , 1.52 , 3.05 , 2.19 , 2.92 , 2.87 
 1.54 , 1.43 , 1.53 , 1.52 , 3.05 , 2.19 , 2.92 , 2.87 
 1.54 , 1.43 , 1.53 , 1.52 , 3.05 , 2.19 , 2.92 , 2.87 
 1.54 , 1.43 , 1.53 , 1.52 , 3.05 , 2.19 , 2.92 , 2.87 
 1.54 , 1.43 , 1.53 , 1.52 , 3.05 , 2.19 , 2.92 , 2.87 
 1.54 , 1.43 , 1.53 , 1.52 , 3.05 , 2.19 , 2.92 , 2.87 
 1.54 , 1.43 , 1.53 , 1.52 , 3.01 , 2.17 , 2.89 , 2.84 
 1.54 , 1.43 , 1.53 , 1.52 , 3.01 , 2.17 , 2.89 , 2.84 
 1.54 , 1.43 , 1.53 , 1.52 , 3.01 , 2.17 , 2.89 , 2.84 
 1.54 , 1.43 , 1.53 , 1.52 , 3.01 , 2.17 , 2.89 , 2.84 
 1.54 , 1.43 , 1.53 , 1.52 , 3.01 , 2.17 , 2.89 , 2.84 
