datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;22.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;672.00
1.00;1.00;4.00;21.70;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;162.00
2.00;1.00;4.11;21.41;4.00;3025.60;640.00;0.00;0.00;0.00;3025.60;0.00;172.00
3.00;1.00;4.14;21.41;2.00;3800.82;320.00;0.00;0.00;0.00;3800.82;0.00;167.00
4.00;1.00;4.08;21.44;2.00;1520.33;0.00;0.00;0.00;0.00;1520.33;0.00;273.00
5.00;1.00;4.04;21.27;3.00;3590.17;480.00;0.00;0.00;0.00;3590.17;0.00;113.00
6.00;1.00;4.01;21.31;3.00;4113.61;480.00;0.00;0.00;0.00;4113.61;0.00;209.00
7.00;1.00;4.06;21.38;4.00;4330.87;800.00;785.27;0.00;0.00;4330.87;0.00;1259.00
8.00;0.75;3.80;21.55;2.00;3758.29;500.00;1367.72;0.00;0.00;3758.29;0.00;749.00
9.00;0.75;4.23;21.70;3.00;3414.06;726.00;2078.57;0.00;0.00;3414.06;0.00;1511.00
10.00;0.75;4.66;21.89;3.00;2678.12;612.00;2340.44;0.00;0.00;2678.12;0.00;809.00
11.00;0.75;5.24;22.05;3.00;2014.74;618.00;2125.57;0.00;0.00;2014.74;0.00;4236.00
12.00;0.50;4.18;22.14;4.00;805.90;0.00;0.00;0.00;0.00;805.90;0.00;3633.00
13.00;1.00;3.89;21.90;3.00;322.36;0.00;0.00;0.00;0.00;322.36;0.00;820.00
14.00;0.75;4.04;21.63;4.00;2407.17;960.00;676.93;0.00;0.00;2407.17;0.00;4127.00
15.00;1.00;4.07;21.65;2.00;2992.05;460.00;2.38;0.00;0.00;2992.05;0.00;3279.00
16.00;0.75;4.02;21.63;2.00;3929.91;456.00;0.00;0.00;0.00;3929.91;0.00;444.00
17.00;1.00;3.84;21.68;3.00;4312.03;744.00;0.00;0.00;0.00;4312.03;0.00;1276.00
18.00;1.00;3.74;21.78;2.00;4321.50;424.00;0.00;8130.45;0.13;12451.95;0.00;2950.00
19.00;1.00;3.44;21.85;3.00;4543.52;654.00;0.00;0.00;0.00;4543.52;0.00;1968.00
20.00;1.00;3.23;21.95;2.00;4541.86;424.00;0.00;0.00;0.00;4541.86;0.00;965.00
21.00;1.00;3.10;22.03;4.00;4308.93;968.00;0.00;0.00;0.00;4308.93;0.00;982.00
22.00;1.00;2.65;22.13;2.00;1723.57;0.00;0.00;0.00;0.00;1723.57;0.00;681.00
23.00;1.00;2.13;21.94;3.00;689.43;0.00;0.00;0.00;0.00;689.43;0.00;553.00
24.00;1.00;1.95;21.67;4.00;275.77;0.00;0.00;0.00;0.00;275.77;0.00;311.00
25.00;1.00;1.76;21.36;2.00;3392.68;320.00;0.00;0.00;0.00;3392.68;0.00;181.00
26.00;1.00;1.61;21.33;4.00;1357.07;0.00;0.00;0.00;0.00;1357.07;0.00;110.00
27.00;1.00;1.46;21.11;2.00;542.83;0.00;0.00;0.00;0.00;542.83;0.00;184.00
28.00;1.00;1.43;20.82;3.00;3490.16;480.00;0.00;0.00;0.00;3490.16;0.00;169.00
29.00;1.00;1.39;20.81;2.00;1396.06;0.00;0.00;0.00;0.00;1396.06;0.00;155.00
