datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3; TotalD_W ;DelayedTotalD_W;ActiveLoadMatlab
0;1;3.92;20;8;0;0;0;0;0; -     ;0;1205
1;1;4;18.96;5;0;0;0;0;0; -     ;0;865
2;1;4.11;18;8;19721.57;1280;0;0;0; 19,721.57   ;0;788
3;1;4.14;17.74;2;26756.78;320;0;0;0; 26,756.78   ;0;1221
4;1;4.08;17.69;7;29775.29;1120;0;0;0; 29,775.29   ;0;900
5;1;4.04;17.75;6;30511.55;960;0;0;0; 30,511.55   ;0;778
6;1;4.01;17.83;5;31031.93;800;0;0;0; 31,031.93   ;0;2148
7;1;4.06;17.91;7;31467.7;1708;3955.05;0;0; 31,467.70   ;0;2507
8;1;3.8;18.14;4;28768.63;904;6641.78;0;0; 28,768.63   ;0;1619
9;0.5;4.23;18.32;6;27179.91;1308;9833.03;0;0; 27,179.91   ;0;1313
10;0.5;4.66;18.58;6;24072.3;1476;10795.02;0;0; 24,072.30   ;0;5054
11;1;5.24;18.79;6;21937.93;1500;9558.46;16055.55;0.26; 37,993.48   ;0;7886
12;0.75;4.18;18.92;8;21330.8;1968;8149.97;0;0; 21,330.80   ;0;2412
13;0.5;3.89;18.93;4;23166.82;848;5911.47;0;0; 23,166.82   ;0;2641
14;0.5;4.04;18.87;8;26300.35;1824;3009.61;0;0; 26,300.35   ;0;1724
15;0.75;4.07;18.86;3;28441.14;702;11.84;0;0; 28,441.14   ;0;3505
16;0.75;4.02;18.79;6;31719.92;1368;0;0;0; 31,719.92   ;0;1780
17;1;3.84;18.85;5;32614.1;1210;0;0;0; 32,614.10   ;0;2842
18;1;3.74;18.91;6;33365.49;1344;0;0;0; 33,365.49   ;0;1526
19;1;3.44;18.99;8;33800.53;1760;0;0;0; 33,800.53   ;0;1985
20;1;3.23;19.07;6;34207.73;1476;0;0;0; 34,207.73   ;0;3044
21;1;3.1;19.13;8;34901.98;1744;0;0;0; 34,901.98   ;0;2927
22;1;2.65;19.21;6;35261.15;1284;0;0;0; 35,261.15   ;0;1768
23;1;2.13;19.26;6;14104.46;0;0;0;0; 14,104.46   ;0;1452
24;1;1.95;18.58;6;29386.93;960;0;0;0; 29,386.93   ;0;1153
25;1;1.76;18.44;2;34297.89;320;0;0;0; 34,297.89   ;0;602
26;1;1.61;18.41;7;36704.05;1120;0;0;0; 36,704.05   ;0;575
27;1;1.46;18.48;5;37341.31;800;0;0;0; 37,341.31   ;0;463
28;1;1.43;18.55;6;38064.45;960;0;0;0; 38,064.45   ;0;511
29;1;1.39;18.63;6;38378.37;960;0;0;0; 38,378.37   ;0;650
30;1;1.3;18.71;4;38667.92;640;0;0;0; 38,667.92   ;0;654
31;1;1.13;18.79;7;39188.78;1652;4578.42;0;0; 39,188.78   ;0;2169
32;1;1.09;19.03;3;36355.41;648;6971.21;0;0; 36,355.41   ;0;2187
33;1;1.2;19.21;8;34749.99;1936;9027.65;0;0; 34,749.99   ;0;1373
34;1;1.21;19.44;6;32186.61;1500;8749.88;0;0; 32,186.61   ;0;2964
35;1;1.25;19.56;5;31877.58;1080;7373.24;0;0; 31,877.58   ;0;3828
36;1;1.31;19.61;6;32921.71;1308;5548.84;0;0; 32,921.71   ;0;2518
37;1;1.28;19.64;3;34279.74;630;3980.23;0;0; 34,279.74   ;0;2642
38;1;1.16;19.64;8;36255.51;1744;2590.71;0;0; 36,255.51   ;0;1676
39;1;0.92;19.68;4;37364.16;800;14.11;0;0; 37,364.16   ;0;1761
40;1;0.82;19.63;6;40276.82;1272;0;0;0; 40,276.82   ;0;1676
41;1;0.74;19.68;5;41234.29;1040;0;0;0; 41,234.29   ;0;2017
42;1;0.81;19.75;6;41921.89;1428;0;19357.44;0.31; 61,279.34   ;0;5859
43;1;0.75;19.85;8;41954.3;1728;0;0;0; 41,954.30   ;0;4859
44;1;0.94;19.95;3;41991.06;738;0;0;0; 41,991.06   ;0;3984
45;1;0.91;20.02;7;41577.56;1638;0;0;0; 41,577.56   ;0;4430
46;1;1.04;20.1;5;16631.02;0;0;0;0; 16,631.02   ;0;2671
47;1;1.19;19.38;6;6652.41;0;0;0;0; 6,652.41   ;0;1647
48;1;0.98;18.41;7;27754.5;1120;0;0;0; 27,754.50   ;0;1217
49;1;0.98;18.17;4;34567.75;640;0;0;0; 34,567.75   ;0;993
50;1;0.93;18.13;7;37264.89;1120;0;0;0; 37,264.89   ;0;752
51;1;0.94;18.19;4;38070.05;640;0;0;0; 38,070.05   ;0;688
52;1;0.94;18.26;7;38747.98;1120;0;0;0; 38,747.98   ;0;437
53;1;0.99;18.35;6;38814.87;960;0;0;0; 38,814.87   ;0;639
54;1;0.92;18.44;5;38997.77;800;0;0;0; 38,997.77   ;0;601
55;1;1.34;18.52;9;39364.95;2124;1739.36;0;0; 39,364.95   ;0;664
56;1;1.69;18.73;4;37243.66;840;3111.5;0;0; 37,243.66   ;0;693
57;1;2.48;18.89;8;36167.86;1904;5273.06;0;0; 36,167.86   ;0;646
58;1;3.39;19.15;6;32989.25;1224;6216.94;0;0; 32,989.25   ;0;1201
59;1;3.82;19.36;6;30738.58;1368;6026.29;0;0; 30,738.58   ;0;647
60;1;3.68;19.52;7;29584.28;1596;4338.48;0;0; 29,584.28   ;0;1333
61;1;2.75;19.58;5;30382.95;1010;4224.98;0;0; 30,382.95   ;0;1308
62;1;3.29;19.58;7;32374.97;1428;3130.17;0;0; 32,374.97   ;0;2946
63;1;3.03;19.65;5;32898.19;1050;13.78;0;0; 32,898.19   ;0;1985
64;1;2.32;19.61;6;35630.16;1296;0;0;0; 35,630.16   ;0;1605
65;1;1.37;19.62;5;37433.83;1240;0;0;0; 37,433.83   ;0;1709
66;1;0.87;19.62;5;39406.48;1140;0;0;0; 39,406.48   ;0;1832
67;1;0.59;19.65;8;40891.43;1776;0;0;0; 40,891.43   ;0;2400
68;1;0.33;19.72;3;41485.66;618;0;0;0; 41,485.66   ;0;2931
69;1;-0.21;19.75;7;42835.79;1652;0;0;0; 42,835.79   ;0;2684
70;1;-0.56;19.82;4;43487.64;928;0;0;0; 43,487.64   ;0;2269
71;1;-0.53;19.85;6;17395.06;0;0;0;0; 17,395.06   ;0;1508
72;1;-0.75;19.07;7;34838.74;1120;0;0;0; 34,838.74   ;0;1072
73;1;-0.68;18.89;3;40437.41;480;0;0;0; 40,437.41   ;0;927
74;1;-0.61;18.87;8;42738.94;1280;0;0;0; 42,738.94   ;0;556
75;1;-0.66;18.95;6;43059.09;960;0;0;0; 43,059.09   ;0;866
76;1;-0.82;19.03;6;42478.65;960;0;0;0; 42,478.65   ;0;1264
77;1;-0.64;19.07;6;16991.46;0;0;0;0; 16,991.46   ;0;522
78;1;-0.35;18.32;6;33826.85;960;0;0;0; 33,826.85   ;0;670
79;1;0.29;18.17;9;38653.85;1800;5016.42;0;0; 38,653.85   ;0;567
80;0.75;0.87;18.41;6;36072.62;1416;7106.69;0;0; 36,072.62   ;0;1150
81;0.5;1.57;18.63;8;33580.99;1952;7494.22;0;0; 33,580.99   ;0;1207
82;0.75;3.02;18.84;6;31427.45;1428;6287.17;0;0; 31,427.45   ;0;1711
83;0.5;4.09;19.01;6;30023.68;1284;6168.29;0;0; 30,023.68   ;0;3586
84;0.25;4.07;19.19;7;20513.31;1498;6818.49;15485.19;0.25; 35,998.50   ;0;4511
85;0.5;4.35;19.09;3;23322.21;696;6217.47;0;0; 23,322.21   ;0;1740
86;0.25;4.41;19.06;7;17458.09;1666;3310.71;0;0; 17,458.09   ;0;917
87;0.5;4.27;18.8;4;24060.96;1000;15.95;0;0; 24,060.96   ;0;915
88;1;3.92;18.63;6;29461.19;1212;0;0;0; 29,461.19   ;0;1943
89;1;3.18;18.61;6;31725.81;1272;0;0;0; 31,725.81   ;0;3235
90;1;2.76;18.62;4;33514.98;912;0;0;0; 33,514.98   ;0;2812
91;1;3.15;18.65;8;34994.19;1648;0;0;0; 34,994.19   ;0;4447
92;1;3.32;18.76;3;34679.27;714;0;0;0; 34,679.27   ;0;5086
93;1;3.24;18.84;6;35052.51;1464;0;0;0; 35,052.51   ;0;3132
94;1;2.99;18.95;4;34954.65;904;0;0;0; 34,954.65   ;0;2242
95;1;2.44;19.01;5;34730.97;1240;0;0;0; 34,730.97   ;0;1606
96;1;1.11;19.04;8;13892.39;0;0;0;0; 13,892.39   ;0;1051
97;1;0.74;18.31;5;5556.96;0;0;0;0; 5,556.96   ;0;736
98;1;0.95;17.34;7;26522.22;1120;0;0;0; 26,522.22   ;0;783
99;1;0.22;17.13;3;32752.65;480;0;0;0; 32,752.65   ;0;571
100;1;0.08;17.05;5;36273.97;800;0;0;0; 36,273.97   ;0;1019
101;1;-0.19;17.08;5;37579.35;800;0;0;0; 37,579.35   ;0;753
102;1;0.17;17.14;6;38477.75;960;0;0;0; 38,477.75   ;0;644
103;1;0.54;17.25;8;38352.35;1600;7001.77;0;0; 38,352.35   ;0;830
104;0.75;1.2;17.6;5;33382.29;1120;6599.49;0;0; 33,382.29   ;0;1051
105;0.75;1.64;17.79;8;31536.06;1936;7117.41;0;0; 31,536.06   ;0;858
106;0.75;2.31;17.98;5;29679.17;1060;10485.33;0;0; 29,679.17   ;0;608
107;0.5;3.5;18.23;6;26841.9;1476;14967.9;0;0; 26,841.90   ;0;1778
108;0.5;4.16;18.6;6;21561.31;1464;16236.85;15677.03;0.25; 37,238.33   ;0;784
109;0.75;4.69;18.86;3;18332.54;750;12622.38;0;0; 18,332.54   ;0;832
110;1;5.14;18.91;7;19289.78;1442;5131.11;0;0; 19,289.78   ;0;2125
111;1;4.92;18.81;6;23244.74;1320;13.16;0;0; 23,244.74   ;0;1050
112;1;4.58;18.66;8;28130.78;1840;0;0;0; 28,130.78   ;0;1513
113;1;4.03;18.67;8;30020.87;1616;0;0;0; 30,020.87   ;0;2835
114;1;3.54;18.69;4;31618.43;840;0;0;0; 31,618.43   ;0;3933
115;1;2.91;18.7;8;33368.53;1904;0;0;0; 33,368.53   ;0;4006
116;1;2.5;18.75;3;34251.77;702;0;0;0; 34,251.77   ;0;4418
117;1;2.01;18.77;7;35914.11;1624;0;0;0; 35,914.11   ;0;2630
118;1;1.59;18.83;6;36672.53;1236;0;0;0; 36,672.53   ;0;2104
119;1;1.85;18.87;4;37815.74;864;0;0;0; 37,815.74   ;0;1213
120;1;1.91;18.95;8;38225.33;1280;0;0;0; 38,225.33   ;0;909
121;1;2.24;19.05;2;38163.18;320;0;0;0; 38,163.18   ;0;741
122;1;2.28;19.14;8;15265.27;0;0;0;0; 15,265.27   ;0;747
123;1;1.89;18.52;4;6106.11;0;0;0;0; 6,106.11   ;0;734
124;1;1.29;17.63;7;25551.78;1120;0;0;0; 25,551.78   ;0;469
125;1;0.69;17.39;7;32294.85;1120;0;0;0; 32,294.85   ;0;566
126;1;0.58;17.33;5;35450.14;800;0;0;0; 35,450.14   ;0;383
127;0.75;1.05;17.36;9;36964.99;2034;7182.56;0;0; 36,964.99   ;0;592
128;0.75;1.45;17.71;6;31954.81;1224;9155.34;0;0; 31,954.81   ;0;329
129;1;2.24;17.95;9;29203.18;1944;9789.72;0;0; 29,203.18   ;0;609
130;0.5;3.32;18.18;6;26583.58;1308;9081.44;0;0; 26,583.58   ;0;1062
131;0.75;4.33;18.35;5;25267.39;1090;7416.8;0;0; 25,267.39   ;0;1490
132;0.5;5.12;18.47;8;24802.18;1888;5337.13;0;0; 24,802.18   ;0;3426
133;1;5.83;18.59;5;24530.88;1230;4812.52;0;0; 24,530.88   ;0;1853
134;0.75;5.77;18.69;7;24375.1;1694;2940.38;0;0; 24,375.10   ;0;1968
135;0;5.2;18.74;7;9750.04;1428;17.42;0;0; 9,750.04   ;0;1802
136;0.75;4.54;18.21;6;22227.57;1212;0;0;0; 22,227.57   ;0;1437
137;0.75;3.92;18.04;7;27517.13;1414;0;0;0; 27,517.13   ;0;1428
138;1;3.36;18.01;5;30086.84;1180;0;0;0; 30,086.84   ;0;2547
139;1;2.81;18.02;8;31924.35;1696;0;0;0; 31,924.35   ;0;2916
140;1;2.85;18.06;3;33060.13;654;0;0;0; 33,060.13   ;0;3380
141;1;3;18.11;9;34137.82;2178;0;0;0; 34,137.82   ;0;2999
142;1;2.91;18.24;6;33529.17;1260;0;0;0; 33,529.17   ;0;1945
143;1;2.81;18.31;7;34113.63;1666;0;0;0; 34,113.63   ;0;2486
144;1;2.55;18.4;8;34325.82;1280;0;0;0; 34,325.82   ;0;878
145;1;2.24;18.46;5;35086.4;800;0;0;0; 35,086.40   ;0;495
146;1;2.17;18.51;8;36145.97;1280;0;0;0; 36,145.97   ;0;555
147;1;1.98;18.59;3;36434.48;480;0;0;0; 36,434.48   ;0;386
148;1;2.18;18.64;7;37381.14;1120;0;0;0; 37,381.14   ;0;439
149;1;2.39;18.75;5;37187.83;800;0;16301.89;0.26; 53,489.72   ;0;605
150;1;2.54;18.86;6;37165.03;960;0;0;0; 37,165.03   ;0;755
