Process,Commodity,Direction,ratio,ratio-min
import,electricity_import,In,1,
import,electricity,Out,1,
feed_in,electricity,In,1,
feed_in,electricity_feed_in,Out,1,
Slack,electricity,Out,1,
Slack,electricity,In,0,
Rooftop PV,solar,In,1,
Rooftop PV,electricity,Out,1,
Gas boiler,natural_gas,In,1,
Gas boiler,common_heat,Out,1,
Gas boiler,CO2,Out,0.2,
Heat_dummy_space,common_heat,In,1,
Heat_dummy_space,space_heat,Out,1,
Heat_dummy_water,common_heat,In,1,
Heat_dummy_water,water_heat,Out,1,
heatpump_air,electricity,In,1,
heatpump_air,common_heat,Out,1,
charging_station,electricity,In,1,
charging_station,mobility,Out,1,
curtailment,electricity,In,1,
