datenum,active?,Tamb_degC,Tb_degC,Occupants,SpaceHeatingD_W,int_gains_W,sol_gains_W,HotWaterD_W,HotWaterTank_m3,TotalD_W,DelayedTotalD_W,ActiveLoadMatlab
0,1,3.9199999999999999,22,1,0,0,0,0,0,0,0,143
1,1,4,21.489999999999998,1,0,0,0,0,0,0,0,219
2,1,4.1100000000000003,20.989999999999998,1,4253.2700000000004,160,0,0,0,4253.2700000000004,0,214
3,1,4.1399999999999997,20.879999999999999,0,5736.6000000000004,0,0,0,0,5736.6000000000004,0,62
4,1,4.0800000000000001,20.890000000000001,1,2294.6399999999999,0,0,0,0,2294.6399999999999,0,22
5,1,4.04,20.609999999999999,1,5033.71,160,0,0,0,5033.71,0,22
6,1,4.0099999999999998,20.579999999999998,1,5983.96,160,0,0,0,5983.96,0,22
7,1,4.0599999999999996,20.620000000000001,1,6363.4200000000001,248,583.32000000000005,0,0,6363.4200000000001,0,61
8,0,3.7999999999999998,20.760000000000002,0,2545.3699999999999,0,1016.11,0,0,2545.3699999999999,0,100
9,0,4.2300000000000004,20.579999999999998,1,1018.15,228,1544.3299999999999,0,0,1018.15,0,32
10,1,4.6600000000000001,20.350000000000001,0,3365.4000000000001,0,1738.98,0,0,3365.4000000000001,0,31
11,1,5.2400000000000002,20.329999999999998,0,4191.9899999999998,0,1579.3900000000001,10269.27,0.16,14461.26,0,24
12,1,4.1799999999999997,20.390000000000001,1,4496.5200000000004,246,1387.6900000000001,0,0,4496.5200000000004,0,22
13,1,3.8900000000000001,20.449999999999999,0,4812.0299999999997,0,999.88,0,0,4812.0299999999997,0,84
14,1,4.04,20.460000000000001,1,5389.5299999999997,236,502.97000000000003,0,0,5389.5299999999997,0,111
15,1,4.0700000000000003,20.510000000000002,0,5750.1499999999996,0,1.77,0,0,5750.1499999999996,0,56
16,0,4.0199999999999996,20.530000000000001,1,2300.0599999999999,230,0,0,0,2300.0599999999999,0,127
17,1,3.8399999999999999,20.280000000000001,1,4836.5200000000004,202,0,0,0,4836.5200000000004,0,159
18,1,3.7400000000000002,20.23,0,5852.79,0,0,0,0,5852.79,0,235
19,1,3.4399999999999999,20.260000000000002,1,6393.6199999999999,234,0,0,0,6393.6199999999999,0,299
20,1,3.23,20.34,1,6535.5500000000002,234,0,0,0,6535.5500000000002,0,534
21,1,3.1000000000000001,20.420000000000002,1,6649.9399999999996,234,0,0,0,6649.9399999999996,0,567
22,1,2.6499999999999999,20.510000000000002,1,6738.1400000000003,228,0,0,0,6738.1400000000003,0,531
23,1,2.1299999999999999,20.59,1,6886.1999999999998,238,0,0,0,6886.1999999999998,0,245
24,1,1.95,20.66,0,2754.48,0,0,0,0,2754.48,0,56
25,1,1.76,20.370000000000001,0,5603.2299999999996,0,0,0,0,5603.2299999999996,0,29
26,1,1.6100000000000001,20.309999999999999,1,6721.54,160,0,0,0,6721.54,0,30
27,1,1.46,20.359999999999999,0,2688.6199999999999,0,0,0,0,2688.6199999999999,0,29
28,1,1.4299999999999999,20.050000000000001,1,5613.3800000000001,160,0,0,0,5613.3800000000001,0,42
29,1,1.3899999999999999,20.010000000000002,1,6631.0299999999997,160,0,0,0,6631.0299999999997,0,29
30,1,1.3,20.050000000000001,1,7038.5900000000001,160,0,0,0,7038.5900000000001,0,14
31,1,1.1299999999999999,20.120000000000001,1,7226.9499999999998,242,669.48000000000002,0,0,7226.9499999999998,0,47
32,1,1.0900000000000001,20.27,1,6901.1599999999999,236,1060.6400000000001,0,0,6901.1599999999999,0,59
33,1,1.2,20.41,1,6577.4499999999998,224,1410.23,0,0,6577.4499999999998,0,29
