datenum;active?;Tamb_degC;Tb_degC;Occupants;SpaceHeatingD_W;int_gains_W;sol_gains_W;HotWaterD_W;HotWaterTank_m3;TotalD_W;DelayedTotalD_W;ActiveLoadMatlab
0.00;1.00;3.92;19.00;23.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3024.00
1.00;1.00;4.00;18.36;14.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2428.00
2.00;1.00;4.11;17.75;22.00;20720.50;3520.00;0.00;0.00;0.00;20720.50;0.00;1412.00
3.00;1.00;4.14;17.67;10.00;26009.82;1600.00;0.00;0.00;0.00;26009.82;0.00;744.00
4.00;1.00;4.08;17.66;16.00;29132.72;2560.00;0.00;0.00;0.00;29132.72;0.00;927.00
5.00;1.00;4.04;17.74;19.00;29871.63;3040.00;0.00;0.00;0.00;29871.63;0.00;894.00
6.00;1.00;4.01;17.83;16.00;30020.70;2560.00;0.00;61467.29;0.98;91488.00;0.00;1859.00
7.00;0.96;4.06;17.92;22.00;30522.98;4884.00;5304.96;0.00;0.00;30522.98;0.00;4086.00
8.00;0.85;3.80;18.17;11.00;26195.91;2200.00;7744.31;0.00;0.00;26195.91;0.00;2041.00
9.00;0.88;4.23;18.30;20.00;25230.75;4160.00;10326.55;0.00;0.00;25230.75;0.00;3147.00
10.00;0.81;4.66;18.52;17.00;21753.50;3536.00;10148.48;0.00;0.00;21753.50;0.00;2735.00
11.00;0.42;5.24;18.66;18.00;18468.12;3852.00;7900.60;0.00;0.00;18468.12;0.00;6316.00
12.00;0.50;4.18;18.71;20.00;17187.64;4400.00;5626.64;0.00;0.00;17187.64;0.00;8410.00
13.00;0.54;3.89;18.65;12.00;17914.56;2880.00;4356.37;0.00;0.00;17914.56;0.00;8113.00
14.00;0.73;4.04;18.54;21.00;24041.58;4242.00;2490.51;0.00;0.00;24041.58;0.00;4616.00
15.00;0.77;4.07;18.56;14.00;26470.37;3416.00;13.63;0.00;0.00;26470.37;0.00;4591.00
16.00;0.96;4.02;18.56;19.00;29406.89;3838.00;0.00;0.00;0.00;29406.89;0.00;4800.00
17.00;0.88;3.84;18.62;20.00;30393.61;4240.00;0.00;0.00;0.00;30393.61;0.00;3820.00
18.00;1.00;3.74;18.71;17.00;30852.81;4250.00;0.00;0.00;0.00;30852.81;0.00;5145.00
19.00;1.00;3.44;18.80;24.00;31267.66;5952.00;0.00;0.00;0.00;31267.66;0.00;7500.00
20.00;1.00;3.23;18.91;14.00;30892.76;3024.00;0.00;0.00;0.00;30892.76;0.00;5956.00
21.00;1.00;3.10;18.94;22.00;32663.59;5456.00;0.00;0.00;0.00;32663.59;0.00;6600.00
22.00;1.00;2.65;19.05;18.00;31183.28;4140.00;0.00;0.00;0.00;31183.28;0.00;4468.00
23.00;1.00;2.13;19.08;15.00;12473.31;0.00;0.00;0.00;0.00;12473.31;0.00;2859.00
24.00;1.00;1.95;18.62;21.00;4989.32;0.00;0.00;0.00;0.00;4989.32;0.00;1141.00
25.00;1.00;1.76;18.01;13.00;25574.75;2080.00;0.00;0.00;0.00;25574.75;0.00;1172.00
26.00;1.00;1.61;17.89;22.00;32053.25;3520.00;0.00;0.00;0.00;32053.25;0.00;790.00
27.00;1.00;1.46;17.93;13.00;33808.07;2080.00;0.00;0.00;0.00;33808.07;0.00;870.00
28.00;1.00;1.43;17.97;19.00;35608.93;3040.00;0.00;0.00;0.00;35608.93;0.00;609.00
29.00;1.00;1.39;18.06;19.00;35839.98;3040.00;0.00;0.00;0.00;35839.98;0.00;1985.00
30.00;1.00;1.30;18.15;17.00;36102.16;2720.00;0.00;0.00;0.00;36102.16;0.00;4247.00
31.00;1.00;1.13;18.24;23.00;36613.78;5336.00;6295.05;0.00;0.00;36613.78;0.00;1553.00
32.00;1.00;1.09;18.50;14.00;31787.48;3164.00;8285.78;0.00;0.00;31787.48;0.00;1871.00
33.00;1.00;1.20;18.65;22.00;30344.52;5456.00;9670.66;0.00;0.00;30344.52;0.00;5631.00
